img url, name, reg st, reg end, url,
https://upload.wikimedia.org/wikipedia/en/thumb/9/95/Bangladesh_University_of_Professionals_%28BUP%29_Logo.svg/1200px-Bangladesh_University_of_Professionals_%28BUP%29_Logo.svg.png,BUP,2024-11-08,2024-11-22,https://admission.bup.edu.bd/Admission/Home,
https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/BSMRMU_Logo.svg/1024px-BSMRMU_Logo.svg.png,BSMRMU (FMGP & FSA),2024-11-10,2024-12-01,https://applyonline.bsmrmu.edu.bd/Admission/Home,
https://upload.wikimedia.org/wikipedia/en/4/49/BSMRAU_Logo.png,BSMRAAU,2024-11-18,2024-12-15,http://bsmraau.teletalk.com.bd/bsc/,
https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Dhaka_University_logo.svg/1200px-Dhaka_University_logo.svg.png,DU,2024-11-04,2024-11-27,https://admission.eis.du.ac.bd/en/408b7c8ad06e4d9954fa2d948a01f508,
https://upload.wikimedia.org/wikipedia/bn/thumb/2/2b/%E0%A6%9C%E0%A6%97%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A6%BE%E0%A6%A5_%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B2%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%B0_%E0%A6%B2%E0%A7%8B%E0%A6%97%E0%A7%8B.svg/1024px-%E0%A6%9C%E0%A6%97%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A6%BE%E0%A6%A5_%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B2%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%B0_%E0%A6%B2%E0%A7%8B%E0%A6%97%E0%A7%8B.svg.png,JnU,2024-12-01,2024-12-15,https://admission.jnu.ac.bd/,
https://upload.wikimedia.org/wikipedia/en/thumb/d/da/BUET_LOGO.svg/1200px-BUET_LOGO.svg.png,BUET,2024-11-30,2024-12-14,https://www.buet.ac.bd/web/#/ugAdmission/1,
https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Logo_KUET.svg/1200px-Logo_KUET.svg.png,KUET,2024-12-04,2024-12-14,https://adm.kuet.ac.bd/,
https://upload.wikimedia.org/wikipedia/bn/thumb/c/c8/%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A7%8D%E0%A6%AF_%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE_%E0%A6%85%E0%A6%A7%E0%A6%BF%E0%A6%A6%E0%A6%AA%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A7%87%E0%A6%B0_%E0%A6%B2%E0%A7%8B%E0%A6%97%E0%A7%8B.png/220px-%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A7%8D%E0%A6%AF_%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE_%E0%A6%85%E0%A6%A7%E0%A6%BF%E0%A6%A6%E0%A6%AA%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A7%87%E0%A6%B0_%E0%A6%B2%E0%A7%8B%E0%A6%97%E0%A7%8B.png,Medical,2024-12-10,2024-12-27,http://dgme.teletalk.com.bd/,
https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Armed_Forces_Medical_College_%28Bangladesh%29_Monogram.svg/1024px-Armed_Forces_Medical_College_%28Bangladesh%29_Monogram.svg.png,AFMC,2024-12-10,2024-12-27,http://afmc.teletalk.com.bd/,
https://upload.wikimedia.org/wikipedia/bn/thumb/f/f5/%E0%A6%B0%E0%A7%81%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%9F_%E0%A6%B2%E0%A7%8B%E0%A6%97%E0%A7%8B.svg/220px-%E0%A6%B0%E0%A7%81%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%9F_%E0%A6%B2%E0%A7%8B%E0%A6%97%E0%A7%8B.svg.png,RUET,2025-01-04,2025-01-14,,
